code,krName,enName,ipoDate,exchange
87600,픽셀플러스,"Pixelplus. Co., Ltd.",2015/06/12,KOSDAQ
57880,필로시스헬스케어,"Philosys Healthcare Co., Ltd",2003/12/29,KOSDAQ
33180,필룩스,"Feelux Co.,Ltd.",2001/12/26,KOSPI
161580,필옵틱스,"PHILOPTICS CO., LTD.",2017/06/01,KOSDAQ
347770,핌스,PIMS Inc.,2020/09/18,KOSDAQ
163730,핑거,Finger Inc.,2021/01/29,KOSDAQ
332710,하나금융14호스팩,Hana Financial Fourteen Special Purpose Acquisition Company,2019/11/01,KOSDAQ
341160,하나금융15호스팩,Hana Financial Fifteenth Special Purpose Acquisition Company,2020/01/30,KOSDAQ
343510,하나금융16호스팩,Hana Financial Sixteen Special Purpose Acquisition Company,2020/07/23,KOSDAQ
86790,하나금융지주,HanaFinancialGroupInc.,2005/12/12,KOSPI
299030,하나기술,"HANA TECHNOLOGY CO.,LTD.",2020/11/25,KOSDAQ
67310,하나마이크론,Hana Micron Inc.,2005/10/11,KOSDAQ
307160,하나머스트제6호스팩,Hana Must Sixth Special Purpose Acquisition Company,2018/11/30,KOSDAQ
166090,하나머티리얼즈,Hana Materials Inc.,2017/04/28,KOSDAQ
293480,하나제약,Hana Pharm,2018/10/02,KOSPI
39130,하나투어,HANATOUR SERVICE,2011/11/01,KOSPI
136480,하림,"HARIM Co., Ltd.",2011/05/02,KOSDAQ
3380,하림지주,"Harim Holdings Co., Ltd.",2017/06/30,KOSDAQ
172580,하이골드12호,Hi Gold Ocean Kmarin No.12 Ship Investment Company,2013/07/12,KOSPI
153360,하이골드3호,Hi Gold Ocean No.3 Ship Investment Company,2012/05/04,KOSPI
149980,하이로닉,"Hironic Co.,Ltd",2014/12/17,KOSDAQ
13030,하이록코리아,HY-LOK CORPORATION,1989/12/15,KOSDAQ
126700,하이비젼시스템,HyVISION SYSTEM.INC,2010/09/10,KOSDAQ
106080,하이소닉,"HYSONIC Co., Ltd.",2010/02/09,KOSDAQ
71090,하이스틸,"HISTEEL CO., LTD.",2003/02/17,KOSPI
340120,하이제5호스팩,HI Special Purpose Acquisition Company V,2019/12/23,KOSDAQ
221840,하이즈항공,"HIZEAERO Co.,Ltd.",2015/11/25,KOSDAQ
106190,하이텍팜,"HIGH TECH PHARM CO., LTD.",2010/07/28,KOSDAQ
19490,하이트론,HitronSystems,1998/11/04,KOSPI
87,하이트진로2우B,HITEJINRO(2PB),2011/09/26,KOSPI
80,하이트진로,HITEJINRO,2009/10/19,KOSPI
145,하이트진로홀딩스우,HITEJINROHOLDINGS(1P),1987/09/29,KOSPI
140,하이트진로홀딩스,HITEJINROHOLDINGS,1973/09/19,KOSPI
66130,하츠,HAATZ Inc.,2003/02/11,KOSDAQ
4590,한국가구,KoreaFurniture,1993/06/03,KOSDAQ
36460,한국가스공사,KoreaGasCorporation,1999/12/15,KOSPI
39340,한국경제TV,"Korea Business News CO., LTD.",2004/07/30,KOSDAQ
5430,한국공항,KoreaAirportService,1976/12/28,KOSPI
34950,한국기업평가,Korea Ratings Corporation,2002/02/07,KOSDAQ
10040,한국내화,KOREAREFRACTORIES,2000/10/16,KOSPI
25540,한국단자,KoreaElectricTerminal,1996/10/16,KOSPI
222980,한국맥널티,"Mcnulty Korea Co., Ltd",2015/12/23,KOSDAQ
331660,한국미라클피플사,KOREA MIRACLE PEOPLE COMPANY,2019/10/28,KONEX
318000,한국바이오젠,"KOREA BIO-GEN Co.,Ltd",2019/08/01,KOSDAQ
96300,베트남개발1,Vietnam Real Estate Development Fund1,2007/06/13,KOSPI
256840,한국비엔씨,"BNC Korea Co, Ltd",2016/12/28,KOSDAQ
4090,한국석유,KOREA PETROLEUM INDUSTRIES,1977/06/25,KOSPI
25550,한국선재,"HANKUK STEEL WIRE CO., LTD.",1995/06/19,KOSDAQ
2200,한국수출포장,KoreaExportPackagingIndustrial,1974/06/28,KOSPI
2960,한국쉘석유,HankookShellOil,1988/08/10,KOSPI
23890,한국아트라스비엑스,"HANKOOK ATLASBX CO.,LTD.",1994/11/23,KOSDAQ
